country,temperature_celsius,wind_kph,pressure_mb,humidity,cloud,uv_index,hora_local,día_del_año,CondCategoria
Mexico,14.2,4.3,1026.0,100,100,1.0,3,280,Lluvia
Mexico,13.3,4.0,1028.0,94,75,1.0,3,281,Nublado
Mexico,14.4,6.8,1025.0,82,100,1.0,3,282,Nublado
Mexico,13.2,7.2,1018.0,96,100,0.0,3,283,Otro
Mexico,9.4,6.1,1022.0,97,100,0.0,3,284,Otro
Mexico,7.3,6.5,1032.0,93,0,0.0,3,285,Despejado
Mexico,10.3,7.6,1030.0,66,0,0.0,3,286,Despejado
Mexico,10.3,6.8,1030.0,87,0,0.0,3,287,Despejado
Mexico,14.4,6.1,1031.0,72,50,0.0,3,288,Nublado
Mexico,11.3,5.4,1022.0,98,100,0.0,3,289,Otro
Mexico,10.3,3.6,1030.0,87,25,0.0,3,290,Nublado
Mexico,11.4,8.3,1028.0,71,25,0.0,3,291,Nublado
Mexico,11.4,6.5,1027.0,87,25,0.0,3,292,Nublado
Mexico,12.7,9.7,1021.0,95,92,0.0,3,293,Otro
Mexico,10.5,9.7,1024.0,86,92,0.0,3,294,Nublado
Mexico,13.0,8.3,1030.0,88,100,0.0,3,295,Nublado
Mexico,14.4,7.2,1028.0,88,75,0.0,3,296,Nublado
Mexico,11.1,6.1,1031.0,94,75,0.0,3,297,Nublado
Mexico,11.2,5.0,1027.0,82,0,0.0,3,299,Despejado
Mexico,11.2,7.9,1031.0,82,50,1.0,3,300,Nublado
Mexico,13.3,9.0,1031.0,72,100,0.0,3,301,Nublado
Mexico,13.3,7.9,1028.0,72,75,0.0,3,302,Nublado
Mexico,12.3,5.4,1026.0,88,50,0.0,3,303,Nublado
Mexico,11.8,3.6,1019.0,94,77,0.0,3,304,Nublado
Mexico,14.3,3.6,1018.0,93,78,0.0,3,305,Nublado
Mexico,13.8,5.0,1016.0,88,51,0.0,3,307,Nublado
Mexico,15.0,3.6,1024.0,77,25,0.0,3,308,Nublado
Mexico,12.1,3.6,1026.0,94,75,0.0,3,309,Nublado
Mexico,13.6,3.6,1014.0,97,88,0.0,3,310,Otro
Mexico,14.9,3.6,1014.0,91,90,0.0,3,311,Nublado
Mexico,13.1,3.6,1025.0,82,25,0.0,3,312,Nublado
Mexico,14.2,4.0,1025.0,59,0,0.0,3,313,Despejado
Mexico,12.2,3.6,1024.0,67,0,0.0,3,314,Despejado
Mexico,14.4,4.7,1018.0,89,100,0.0,2,315,Nublado
Mexico,12.1,4.0,1027.0,47,0,0.0,3,316,Despejado
Mexico,12.2,5.4,1027.0,50,0,0.0,3,317,Despejado
Mexico,12.2,3.6,1026.0,58,25,0.0,3,318,Nublado
Mexico,12.0,9.0,1028.0,62,0,0.0,3,319,Despejado
Mexico,10.4,7.2,1027.0,71,0,0.0,3,320,Despejado
Mexico,13.4,3.6,1024.0,62,0,0.0,2,321,Despejado
Mexico,14.3,4.3,1014.0,77,3,0.0,2,322,Despejado
Mexico,14.2,6.1,1022.0,55,0,0.0,2,323,Despejado
Mexico,15.2,4.0,1022.0,72,25,0.0,2,324,Nublado
Mexico,16.5,4.0,1016.0,83,39,0.0,2,325,Nublado
Mexico,11.3,10.1,1032.0,76,100,0.0,2,326,Nublado
Mexico,11.2,7.6,1023.0,86,81,0.0,2,327,Nublado
Mexico,7.3,4.7,1028.0,61,0,0.0,3,328,Despejado
Mexico,9.4,3.6,1027.0,46,0,0.0,2,329,Despejado
Mexico,11.9,3.6,1020.0,55,0,0.0,2,330,Despejado
Mexico,8.3,5.8,1031.0,34,0,0.0,2,331,Despejado
Mexico,9.4,3.6,1028.0,53,0,0.0,2,332,Despejado
Mexico,12.5,3.6,1016.0,41,0,0.0,5,333,Despejado
Mexico,11.5,3.6,1018.0,87,11,0.0,4,334,Despejado
Mexico,9.1,4.3,1028.0,76,0,0.0,4,335,Despejado
Mexico,11.0,5.8,1022.0,93,85,0.0,4,336,Nublado
Mexico,11.1,7.9,1022.0,92,92,0.0,5,337,Nublado
Mexico,8.3,8.3,1032.0,81,0,0.0,4,338,Despejado
Mexico,9.1,7.2,1031.0,66,0,0.0,4,339,Despejado
Mexico,11.1,3.6,1028.0,66,25,0.0,4,340,Nublado
Mexico,13.4,7.2,1019.0,89,100,0.0,4,341,Nublado
Mexico,12.3,6.8,1028.0,77,100,0.0,4,342,Nublado
Mexico,8.1,3.6,1028.0,87,0,0.0,4,343,Despejado
Mexico,10.3,3.6,1027.0,54,0,0.0,5,344,Despejado
Mexico,12.1,3.6,1026.0,58,0,0.0,5,345,Despejado
Mexico,14.3,13.0,1029.0,59,25,0.0,4,346,Nublado
Mexico,7.2,3.6,1030.0,76,0,0.0,4,347,Despejado
Mexico,10.2,3.6,1030.0,71,0,0.0,4,348,Despejado
Mexico,12.0,5.4,1021.0,79,5,0.0,4,349,Despejado
Mexico,9.3,7.6,1028.0,71,0,0.0,4,350,Despejado
Mexico,11.9,5.8,1019.0,88,84,0.0,4,351,Nublado
Mexico,8.0,7.6,1028.0,87,75,0.0,4,352,Nublado
Mexico,10.3,5.0,1029.0,87,75,0.0,4,353,Nublado
Mexico,11.2,10.4,1023.0,90,92,0.0,4,354,Nublado
Mexico,11.1,7.2,1023.0,87,100,0.0,4,355,Nublado
Mexico,10.7,9.0,1023.0,89,93,0.0,4,356,Nublado
Mexico,10.0,5.8,1022.0,79,87,0.0,4,357,Nublado
Mexico,9.7,3.6,1022.0,83,21,0.0,4,358,Despejado
Mexico,10.1,6.5,1021.0,86,94,0.0,4,359,Nublado
Mexico,10.5,3.6,1018.0,86,37,0.0,4,360,Nublado
Mexico,10.2,5.4,1017.0,77,0,0.0,4,361,Despejado
Mexico,9.0,4.0,1017.0,74,0,0.0,5,362,Despejado
Mexico,9.3,4.0,1024.0,53,0,0.0,4,363,Despejado
Mexico,12.1,3.6,1019.0,43,0,0.0,3,364,Despejado
Mexico,9.0,3.6,1027.0,46,0,0.0,4,365,Despejado
Mexico,9.3,3.6,1026.0,50,75,0.0,4,366,Nublado
Mexico,10.3,4.0,1019.0,68,65,0.0,5,1,Nublado
Mexico,8.3,7.9,1029.0,76,0,0.0,4,2,Despejado
Mexico,7.4,8.3,1030.0,81,0,0.0,4,3,Despejado
Mexico,11.3,7.6,1030.0,71,75,0.0,3,4,Nublado
Mexico,12.3,5.8,1027.0,54,75,0.0,4,5,Nublado
Mexico,11.3,3.6,1027.0,76,75,0.0,4,6,Nublado
Mexico,10.2,5.8,1028.0,76,25,0.0,4,8,Nublado
Mexico,11.2,3.6,1018.0,83,2,0.0,5,9,Despejado
Mexico,14.3,11.5,1022.0,59,25,0.0,5,10,Nublado
Mexico,12.3,4.7,1023.0,94,100,0.0,3,11,Lluvia
Mexico,11.3,7.9,1023.0,87,100,0.0,4,12,Lluvia
Mexico,9.4,4.7,1026.0,81,75,0.0,4,13,Nublado
Mexico,9.2,3.6,1028.0,81,0,0.0,4,14,Despejado
Mexico,11.3,4.7,1030.0,76,0,0.0,3,15,Despejado
Mexico,10.1,9.0,1025.0,92,83,0.0,5,16,Nublado
Mexico,14.2,3.6,1029.0,63,0,0.0,3,17,Despejado
Mexico,13.1,5.4,1027.0,67,0,0.0,3,18,Despejado
Mexico,11.3,3.6,1027.0,71,0,0.0,3,19,Despejado
Mexico,14.2,7.6,1025.0,59,0,0.0,4,20,Despejado
Mexico,12.0,7.6,1027.0,62,0,0.0,4,21,Despejado
Mexico,4.3,6.8,1027.0,81,0,0.0,4,22,Despejado
Mexico,11.2,5.0,1027.0,66,0,0.0,4,23,Despejado
Mexico,10.3,5.4,1027.0,62,0,0.0,4,24,Despejado
Mexico,7.3,4.0,1029.0,81,0,0.0,4,25,Despejado
Mexico,11.1,3.6,1030.0,50,0,0.0,4,26,Despejado
Mexico,11.4,3.6,1028.0,47,0,0.0,4,27,Despejado
